dialogue_id,intra_dialogue_id,entropy,cross_entropy
86,1,1.4834,1.7916
86,2,-0.0,36.0437
86,3,-1.0,36.0437
86,4,-1.0,36.0437
87,0,1.5305,1.0987
87,1,1.0,0.6931
87,2,0.9544,0.9808
87,3,-0.0,0.0
88,0,1.2517,36.0437
88,1,1.5849,36.0437
88,2,1.361,36.0437
88,3,1.5546,36.0437
88,4,1.5613,36.0437
88,5,0.9852,36.0437
88,6,0.9852,36.0437
