dialogue_id,intra_dialogue_id,entropy,cross_entropy
65,2,1.5305,1.0987
65,3,1.5849,1.0987
65,4,1.5766,1.1786
65,5,1.4855,1.204
65,6,1.5849,1.0987
65,7,1.5486,0.9556
65,8,1.5766,1.1786
65,9,1.5849,1.0987
65,10,1.4834,0.8754
66,0,-0.0,36.0437
66,1,-0.0,36.0437
66,2,-0.0,36.0437
67,0,-1.0,36.0437
67,1,-1.0,36.0437
67,2,-1.0,36.0437
67,3,-1.0,36.0437
67,4,-1.0,36.0437
67,5,-1.0,36.0437
68,0,2.0,1.3863
68,1,-0.0,36.0437
68,2,-0.0,36.0437
68,3,-0.0,36.0437
68,4,-1.0,36.0437
68,5,-1.0,36.0437
68,6,-1.0,36.0437
68,7,-1.0,36.0437
68,8,-1.0,36.0437
69,0,1.9714,1.4469
69,1,2.0,1.3863
69,2,2.0,1.3863
69,3,1.6577,0.5877
69,4,1.9938,1.3348
69,5,1.9938,1.3348
69,6,0.9544,0.47
70,0,1.7841,2.4853
70,1,1.9544,1.1632
70,2,1.9362,1.7048
70,3,1.9808,1.2994
70,4,1.9592,1.7916
70,5,1.9852,1.2528
70,6,1.5546,0.8754
71,0,1.9242,36.0437
71,1,-1.0,36.0437
71,2,-1.0,36.0437
71,3,-1.0,36.0437
71,4,-1.0,36.0437
72,0,2.1971,36.0437
72,1,-0.0,36.0437
72,2,-0.0,36.0437
72,3,-0.0,36.0437
72,4,-0.0,36.0437
72,5,-1.0,36.0437
72,6,-1.0,36.0437
73,0,1.0,0.6931
73,1,-0.0,0.0
73,2,-0.0,0.0
73,3,-0.0,0.0
73,4,-0.0,0.0
73,5,-0.0,0.0
73,6,-0.0,0.0
74,0,-0.0,36.0437
74,1,-1.0,36.0437
74,2,-1.0,36.0437
74,3,-1.0,36.0437
74,4,-1.0,36.0437
74,5,-1.0,36.0437
74,6,-1.0,36.0437
74,7,-1.0,36.0437
74,8,-1.0,36.0437
76,0,-1.0,36.0437
76,1,-1.0,36.0437
76,2,-1.0,36.0437
76,3,-1.0,36.0437
76,4,-1.0,36.0437
76,5,-1.0,36.0437
76,6,-1.0,36.0437
76,7,-1.0,36.0437
76,8,-1.0,36.0437
77,0,1.5849,1.0987
77,1,1.5774,1.2528
77,2,0.8631,0.3365
77,3,-0.0,0.0
78,0,1.4592,36.0437
78,1,0.7219,36.0437
78,2,-0.0,36.0437
78,3,-0.0,36.0437
78,4,-0.0,36.0437
79,0,-0.0,36.0437
79,1,-1.0,36.0437
79,2,-1.0,36.0437
79,3,-1.0,36.0437
79,4,-1.0,36.0437
80,0,2.9843,2.028
80,1,2.0,1.3863
80,2,1.5774,1.0297
80,3,-0.0,0.0
80,4,-0.0,0.0
80,5,-0.0,0.0
80,6,-0.0,0.0
81,0,2.0,1.3863
81,1,2.0,1.3863
81,2,2.0,1.3863
81,3,1.5849,1.0987
81,4,0.8113,0.2877
81,5,-0.0,0.0
81,6,-0.0,0.0
82,0,2.0,1.3863
82,1,2.0,1.3863
82,2,1.921,1.2238
82,3,1.8842,1.1786
82,4,1.5774,1.0297
82,5,1.0,0.6931
82,6,0.6501,0.1824
83,0,0.8113,0.2877
83,1,1.0,0.6931
83,2,0.8631,0.3365
83,3,0.6501,0.1824
83,4,-0.0,0.0
83,5,-0.0,0.0
83,6,-0.0,0.0
84,0,2.0,1.3863
84,1,0.9544,0.47
84,2,0.9183,1.0987
84,3,1.0,0.6931
84,4,1.0,0.6931
84,5,0.8631,0.3365
85,0,2.0,1.3863
85,1,1.0,36.0437
85,2,0.8631,36.0437
85,3,0.7219,36.0437
85,4,0.9911,36.0437
85,5,-0.0,36.0437
85,6,-1.0,36.0437
86,0,2.0,1.3863
86,1,0.9183,36.0437
86,2,1.0,36.0437
86,3,0.9183,36.0437
86,4,-0.0,36.0437
86,5,-0.0,36.0437
86,6,-0.0,36.0437
86,7,-1.0,36.0437
86,8,-1.0,36.0437
87,0,1.9938,1.3348
87,1,1.5,36.0437
87,2,1.4056,36.0437
87,3,1.5849,36.0437
87,4,-1.0,36.0437
88,0,-1.0,36.0437
88,1,-1.0,36.0437
88,2,-1.0,36.0437
88,3,-1.0,36.0437
88,4,-1.0,36.0437
88,5,-1.0,36.0437
88,6,-1.0,36.0437
88,7,-1.0,36.0437
88,8,-1.0,36.0437
